name,age,dob,phone,address,account_no,password,balance

dharshan,19,13/12/2004,7094316567,"55/7 ghop,sjbn,adyar,ch-20",22312112,2701,57000.0

caleb,20,17/10/2004,9638527410,"vpg,ghjk,dsfs,ch-50",22312116,8080,10450.0

ebe,20,09/08/2005,9871234562,"98/1 kgjhjsrgg,geghedh,gere,ch -30",30806511,6996,60000.0

kamalesh,18,16/08/2004,9006389122,"jj,poyes,pohu,ch-60",11223344,1234,5000.0

leo das,43,23/03/1998,7094636567,"dbgszdfbsfbs,sdbszdbsz,szdb",22312117,1947,1840.0

leo das,43,23/03/1998,9094636567,"dbgszdfbsfbs,sdbszdbsz,szdb",22312517,1947,0.0

anto das,43,23/03/1978,9096936567,"dbgdkvnjskdsfbs,sdbszdbsz,szdb",22369317,2698,700.0

hralod das,25,23/03/1978,8791922267,"dfbs,sdbbsz,sb",11269565,2696,600

onii chan,25,23/05/1999,9040967440,"hfpop,thrth,hrjj",22412106,8116,900.0

vaishunavi,25,23/05/2001,9040074560,"egdhe,egee,erhhe",10010011,6896,10000.0

vishnu,28,27/01/1996,9555621133,"adbbsfbdfbf,wsrbsrbsbs,sbsbsb",33145622,5698,48000.0

